Time (s), Instantaneous Heart Rate, Average Heart Rate, Brady/Tachycardia Occurrence
438.0,5.45454545455,26.1457550714,B
439.0,30.0,25.9429000751,B
440.0,30.0,25.9429000751,B
441.0,30.0,25.9429000751,B
442.0,30.0,26.1457550714,B
443.0,30.0,26.3486100676,B
444.0,30.0,26.3486100676,B
445.0,30.0,26.3486100676,B
446.0,30.0,26.3486100676,B
447.0,30.0,26.3486100676,B
448.0,30.0,26.3486100676,B
449.0,30.0,26.3486100676,B
450.0,5.45454545455,26.3486100676,B
451.0,5.45454545455,26.1457550714,B
452.0,30.0,25.9429000751,B
453.0,30.0,25.9429000751,B
454.0,30.0,25.9429000751,B
455.0,30.0,26.1457550714,B
456.0,30.0,26.3486100676,B
457.0,30.0,26.3486100676,B
458.0,30.0,26.3486100676,B
459.0,30.0,26.3486100676,B
460.0,30.0,26.3486100676,B
461.0,30.0,26.3486100676,B
462.0,30.0,26.3486100676,B
463.0,5.45454545455,26.3486100676,B
464.0,5.45454545455,26.1457550714,B
465.0,30.0,25.9429000751,B
466.0,30.0,25.9429000751,B
467.0,30.0,25.9429000751,B
468.0,30.0,26.1457550714,B
469.0,30.0,26.3486100676,B
470.0,30.0,26.3486100676,B
471.0,30.0,26.3486100676,B
472.0,30.0,26.3486100676,B
473.0,30.0,26.3486100676,B
474.0,30.0,26.3486100676,B
475.0,30.0,26.3486100676,B
476.0,5.45454545455,26.3486100676,B
477.0,5.45454545455,26.1457550714,B
478.0,30.0,25.9429000751,B
479.0,30.0,25.9429000751,B
480.0,30.0,25.9429000751,B
481.0,30.0,26.1457550714,B
482.0,30.0,26.3486100676,B
483.0,30.0,26.3486100676,B
484.0,30.0,26.3486100676,B
485.0,30.0,26.3486100676,B
486.0,30.0,26.3486100676,B
487.0,30.0,26.3486100676,B
488.0,30.0,26.3486100676,B
489.0,5.45454545455,26.3486100676,B
490.0,5.45454545455,26.1457550714,B
491.0,30.0,25.9429000751,B
492.0,30.0,25.9429000751,B
493.0,30.0,25.9429000751,B
494.0,30.0,26.1457550714,B
495.0,30.0,26.3486100676,B
496.0,30.0,26.3486100676,B
497.0,30.0,26.3486100676,B
498.0,30.0,26.3486100676,B
499.0,30.0,26.3486100676,B
500.0,30.0,26.3486100676,B
501.0,30.0,26.3486100676,B
502.0,5.45454545455,26.3486100676,B
503.0,5.45454545455,26.1457550714,B
504.0,30.0,25.9429000751,B
505.0,30.0,25.9429000751,B
506.0,30.0,25.9429000751,B
507.0,30.0,26.1457550714,B
508.0,30.0,26.3486100676,B
509.0,30.0,26.3486100676,B
510.0,30.0,26.3486100676,B
511.0,30.0,26.3486100676,B
512.0,30.0,26.3486100676,B
513.0,30.0,26.3486100676,B
514.0,30.0,26.3486100676,B
515.0,5.45454545455,26.3486100676,B
516.0,5.45454545455,26.1457550714,B
517.0,30.0,25.9429000751,B
518.0,30.0,25.9429000751,B
519.0,30.0,25.9429000751,B
520.0,30.0,26.1457550714,B
521.0,30.0,26.3486100676,B
522.0,30.0,26.3486100676,B
523.0,30.0,26.3486100676,B
524.0,30.0,26.3486100676,B
525.0,30.0,26.3486100676,B
526.0,30.0,26.3486100676,B
527.0,30.0,26.3486100676,B
528.0,5.45454545455,26.3486100676,B
529.0,5.45454545455,26.1457550714,B
530.0,30.0,25.9429000751,B
531.0,30.0,25.9429000751,B
532.0,30.0,25.9429000751,B
533.0,30.0,26.1457550714,B
534.0,30.0,26.3486100676,B
535.0,30.0,26.3486100676,B
536.0,30.0,26.3486100676,B
537.0,30.0,26.3486100676,B
538.0,30.0,26.3486100676,B
539.0,30.0,26.3486100676,B
540.0,30.0,26.3486100676,B
541.0,5.45454545455,26.3486100676,B
542.0,5.45454545455,26.1457550714,B
543.0,30.0,25.9429000751,B
544.0,30.0,25.9429000751,B
545.0,30.0,25.9429000751,B
546.0,30.0,26.1457550714,B
547.0,30.0,26.3486100676,B
548.0,30.0,26.3486100676,B
549.0,30.0,26.3486100676,B
550.0,30.0,26.3486100676,B
551.0,30.0,26.3486100676,B
552.0,30.0,26.3486100676,B
553.0,30.0,26.3486100676,B
554.0,5.45454545455,26.3486100676,B
555.0,5.45454545455,26.1457550714,B
556.0,30.0,25.9429000751,B
557.0,30.0,25.9429000751,B
558.0,30.0,25.9429000751,B
559.0,30.0,26.1457550714,B
560.0,30.0,26.3486100676,B
561.0,30.0,26.3486100676,B
562.0,30.0,26.3486100676,B
563.0,30.0,26.3486100676,B
564.0,30.0,26.3486100676,B
565.0,30.0,26.3486100676,B
566.0,30.0,26.3486100676,B
567.0,5.45454545455,26.3486100676,B
568.0,5.45454545455,26.1457550714,B
569.0,30.0,25.9429000751,B
570.0,30.0,25.9429000751,B
571.0,30.0,25.9429000751,B
572.0,30.0,26.1457550714,B
573.0,30.0,26.3486100676,B
574.0,30.0,26.3486100676,B
575.0,30.0,26.3486100676,B
576.0,30.0,26.3486100676,B
577.0,30.0,26.3486100676,B
578.0,30.0,26.3486100676,B
579.0,30.0,26.3486100676,B
580.0,5.45454545455,26.3486100676,B
581.0,5.45454545455,26.1457550714,B
582.0,30.0,25.9429000751,B
583.0,30.0,25.9429000751,B
584.0,30.0,25.9429000751,B
585.0,30.0,26.1457550714,B
586.0,30.0,26.3486100676,B
587.0,30.0,26.3486100676,B
588.0,30.0,26.3486100676,B
589.0,30.0,26.3486100676,B
590.0,30.0,26.3486100676,B
591.0,30.0,26.3486100676,B
592.0,30.0,26.3486100676,B
593.0,5.45454545455,26.3486100676,B
594.0,5.45454545455,26.1457550714,B
595.0,30.0,25.9429000751,B
596.0,30.0,25.9429000751,B
597.0,30.0,25.9429000751,B
598.0,30.0,26.1457550714,B
599.0,30.0,26.3486100676,B
600.0,30.0,26.3486100676,B
601.0,30.0,26.3486100676,B
602.0,30.0,26.3486100676,B
603.0,30.0,26.3486100676,B
604.0,30.0,26.3486100676,B
605.0,30.0,26.3486100676,B
606.0,5.45454545455,26.3486100676,B
607.0,5.45454545455,26.1457550714,B
608.0,30.0,25.9429000751,B
609.0,30.0,25.9429000751,B
610.0,30.0,25.9429000751,B
611.0,30.0,26.1457550714,B
612.0,30.0,26.3486100676,B
613.0,30.0,26.3486100676,B
614.0,30.0,26.3486100676,B
615.0,30.0,26.3486100676,B
616.0,30.0,26.3486100676,B
617.0,30.0,26.3486100676,B
618.0,30.0,26.3486100676,B
619.0,5.45454545455,26.3486100676,B
620.0,5.45454545455,26.1457550714,B
621.0,30.0,25.9429000751,B
622.0,30.0,25.9429000751,B
623.0,30.0,25.9429000751,B
624.0,30.0,26.1457550714,B
625.0,30.0,26.3486100676,B
626.0,30.0,26.3486100676,B
627.0,30.0,26.3486100676,B
628.0,30.0,26.3486100676,B
629.0,30.0,26.3486100676,B
630.0,30.0,26.3486100676,B
631.0,30.0,26.3486100676,B
632.0,5.45454545455,26.3486100676,B
633.0,5.45454545455,26.1457550714,B
634.0,30.0,25.9429000751,B
635.0,30.0,25.9429000751,B
636.0,30.0,25.9429000751,B
637.0,30.0,26.1457550714,B
638.0,30.0,26.3486100676,B
639.0,30.0,26.3486100676,B
640.0,30.0,26.3486100676,B
641.0,30.0,26.3486100676,B
642.0,30.0,26.3486100676,B
643.0,30.0,26.3486100676,B
644.0,30.0,26.3486100676,B
645.0,5.45454545455,26.3486100676,B
646.0,5.45454545455,26.1457550714,B
647.0,30.0,25.9429000751,B
648.0,30.0,25.9429000751,B
649.0,30.0,25.9429000751,B
650.0,30.0,26.1457550714,B
651.0,30.0,26.3486100676,B
652.0,30.0,26.3486100676,B
653.0,30.0,26.3486100676,B
654.0,30.0,26.3486100676,B
655.0,30.0,26.3486100676,B
656.0,30.0,26.3486100676,B
657.0,30.0,26.3486100676,B
658.0,5.45454545455,26.3486100676,B
659.0,5.45454545455,26.1457550714,B
660.0,30.0,25.9429000751,B
661.0,30.0,25.9429000751,B
662.0,30.0,25.9429000751,B
663.0,30.0,26.1457550714,B
664.0,30.0,26.3486100676,B
665.0,30.0,26.3486100676,B
666.0,30.0,26.3486100676,B
667.0,30.0,26.3486100676,B
668.0,30.0,26.3486100676,B
669.0,30.0,26.3486100676,B
670.0,30.0,26.3486100676,B
671.0,5.45454545455,26.3486100676,B
672.0,5.45454545455,26.1457550714,B
673.0,30.0,25.9429000751,B
674.0,30.0,25.9429000751,B
675.0,30.0,25.9429000751,B
676.0,30.0,26.1457550714,B
677.0,30.0,26.3486100676,B
678.0,30.0,26.3486100676,B
679.0,30.0,26.3486100676,B
680.0,30.0,26.3486100676,B
681.0,30.0,26.3486100676,B
682.0,30.0,26.3486100676,B
683.0,30.0,26.3486100676,B
684.0,5.45454545455,26.3486100676,B
685.0,5.45454545455,26.1457550714,B
686.0,30.0,25.9429000751,B
687.0,30.0,25.9429000751,B
688.0,30.0,25.9429000751,B
689.0,30.0,26.1457550714,B
690.0,30.0,26.3486100676,B
691.0,30.0,26.3486100676,B
692.0,30.0,26.3486100676,B
693.0,30.0,26.3486100676,B
694.0,30.0,26.3486100676,B
695.0,30.0,26.3486100676,B
696.0,30.0,26.3486100676,B
697.0,5.45454545455,26.3486100676,B
698.0,5.45454545455,26.1457550714,B
699.0,30.0,25.9429000751,B
700.0,30.0,25.9429000751,B
701.0,30.0,25.9429000751,B
702.0,30.0,26.1457550714,B
703.0,30.0,26.3486100676,B
704.0,30.0,26.3486100676,B
705.0,30.0,26.3486100676,B
706.0,30.0,26.3486100676,B
707.0,30.0,26.3486100676,B
708.0,30.0,26.3486100676,B
709.0,30.0,26.3486100676,B
710.0,5.45454545455,26.3486100676,B
711.0,5.45454545455,26.1457550714,B
712.0,30.0,25.9429000751,B
713.0,30.0,25.9429000751,B
714.0,30.0,25.9429000751,B
715.0,30.0,26.1457550714,B
716.0,30.0,26.3486100676,B
717.0,30.0,26.3486100676,B
718.0,30.0,26.3486100676,B
719.0,30.0,26.3486100676,B
720.0,30.0,26.3486100676,B
721.0,30.0,26.3486100676,B
722.0,30.0,26.3486100676,B
723.0,5.45454545455,26.3486100676,B
724.0,5.45454545455,26.1457550714,B
725.0,30.0,25.9429000751,B
726.0,30.0,25.9429000751,B
727.0,30.0,25.9429000751,B
728.0,30.0,26.1457550714,B
729.0,30.0,26.3486100676,B
730.0,30.0,26.3486100676,B
731.0,30.0,26.3486100676,B
732.0,30.0,26.3486100676,B
733.0,30.0,26.3486100676,B
734.0,30.0,26.3486100676,B
735.0,30.0,26.3486100676,B
736.0,5.45454545455,26.3486100676,B
737.0,5.45454545455,26.1457550714,B
738.0,30.0,25.9429000751,B
739.0,30.0,25.9429000751,B
740.0,30.0,25.9429000751,B
741.0,30.0,26.1457550714,B
742.0,30.0,26.3486100676,B
